"2853511000006117"    "burkitt cell leukaemia"                                                                                                                                                                                                                     
"3713291000006112"    "mantle cell lymphoma"                                                                                                                                                                                                                       
"289639019"           "hodgkin's sarcoma of unspecified site"                                                                                                                                                                                                      
"445586018"           "malignant histiocytosis"                                                                                                                                                                                                                    
"4753031000006113"    "malignant lymphoma - small cleaved cell"                                                                                                                                                                                                    
"1815241000006110"    "multifocal multisystemic dissem langerhans-cell histiocytosi"                                                                                                                                                                               
"4009801000006118"    "cgl - chronic granulocytic leukaemia"                                                                                                                                                                                                       
"459741000006115"     "apl - acute promyelocytic leukaemia"                                                                                                                                                                                                        
"1229767019"          "[m]hodgkin's disease, mixed cellularity"                                                                                                                                                                                                    
"311571000006117"     "[m]malignant lymphoma, lymphocytic, intermediate differentiation, nodular"                                                                                                                                                                  
"292065018"           "[m]miscellaneous leukaemias"                                                                                                                                                                                                                
"289812013"           "diffuse non-hodgkin's lymphoma undifferentiated (diffuse)"                                                                                                                                                                                  
"291934010"           "[m]hodgkin's paragranuloma"                                                                                                                                                                                                                 
"154183017"           "malignant histiocytosis of intra-abdominal lymph nodes"                                                                                                                                                                                     
"4753241000006113"    "subacute lymphoid leukemia"                                                                                                                                                                                                                 
"289867014"           "malignant plasma cell neoplasm, extramedullary plasmacytoma"                                                                                                                                                                                
"509741017"           "acute lymphoid leukaemia"                                                                                                                                                                                                                   
"82041000006113"      "b-cell non-hodgkin's lymphoma"                                                                                                                                                                                                              
"1815691000006116"    "myelodysplastic/myeloproliferative disease"                                                                                                                                                                                                 
"1216016010"          "[m]mast cell leukaemia"                                                                                                                                                                                                                     
"4309731000006119"    "hairy cell leukaemia (clinical)"                                                                                                                                                                                                            
"291923012"           "[m]reticulosarcoma nos"                                                                                                                                                                                                                     
"305141000006119"     "[m]aleukaemic monocytic leukaemia"                                                                                                                                                                                                          
"880971000006116"     "leukaemia - unspec. cell nos"                                                                                                                                                                                                               
"289621011"           "hodgkin's paragranuloma of intra-abdominal lymph nodes"                                                                                                                                                                                     
"344818012"           "kahler's disease"                                                                                                                                                                                                                           
"289591011"           "lymphosarcoma"                                                                                                                                                                                                                              
"826631000006116"     "hodgkin's disease, nodular sclerosis of intra-abdominal lymph nodes"                                                                                                                                                                        
"4310081000006111"    "mf - mycosis fungoides"                                                                                                                                                                                                                     
"4009781000006117"    "chronic myeloid leukemia"                                                                                                                                                                                                                   
"880881000006113"     "monocytic leukaemia - acute"                                                                                                                                                                                                                
"289769018"           "leukaemic reticuloendotheliosis of spleen"                                                                                                                                                                                                  
"1216346016"          "[m]acute myelomonocytic leukaemia"                                                                                                                                                                                                          
"289582012"           "reticulosarcoma of lymph nodes of head, face and neck"                                                                                                                                                                                      
"1230392016"          "[m]malignant lymphoma, large cell, diffuse nos"                                                                                                                                                                                             
"289781019"           "malignant mast cell tumours"                                                                                                                                                                                                                
"683691000006113"     "mycosis fungoides of lymph nodes of inguinal region and lower limb"                                                                                                                                                                         
"289876019"           "lymphoid leukaemia"                                                                                                                                                                                                                         
"289709015"           "hodgkin's disease of intrapelvic lymph nodes"                                                                                                                                                                                               
"3068691000006115"    "myeloid sarcoma"                                                                                                                                                                                                                            
"154081017"           "letterer-siwe disease of intrapelvic lymph nodes"                                                                                                                                                                                           
"292035011"           "[m]subacute myeloid leukaemia"                                                                                                                                                                                                              
"5599801000006110"    "b-cll - b-cell chronic lymphocytic leukaemia"                                                                                                                                                                                               
"289949018"           "megakaryocytic leukaemia"                                                                                                                                                                                                                   
"291909010"           "[m]prolymphocytic lymphosarcoma"                                                                                                                                                                                                            
"291984015"           "[m]leukaemias unspecified"                                                                                                                                                                                                                  
"880911000006113"     "leukaemia - specif.cell type"                                                                                                                                                                                                               
"5912011000006117"    "diffuse malignant lymphoma - centroblastic"                                                                                                                                                                                                 
"289930017"           "other monocytic leukaemia nos"                                                                                                                                                                                                              
"2870725010"          "mediastinal (thymic) large b-cell lymphoma"                                                                                                                                                                                                 
"414220013"           "acute monoblastic leukaemia"                                                                                                                                                                                                                
"1222289015"          "[m]malignant lymphoma, lymphoplasmacytoid type"                                                                                                                                                                                             
"4420191000006110"    "leukaemia (category)"                                                                                                                                                                                                                       
"292062015"           "monocytic leukaemia"                                                                                                                                                                                                                        
"289750011"           "malignant histiocytosis of unspecified site"                                                                                                                                                                                                
"157688015"           "nodular lymphoma of intrathoracic lymph nodes"                                                                                                                                                                                              
"311511000006114"     "[m]lymphosarcoma cell leukaemias"                                                                                                                                                                                                           
"154838016"           "hodgkin's granuloma of intrathoracic lymph nodes"                                                                                                                                                                                           
"4309871000006113"    "acute progressive histiocytosis x"                                                                                                                                                                                                          
"2168831000000110"    "sezary disease"                                                                                                                                                                                                                             
"215913019"           "hodgkin lymphoma, lymphocyte depletion"                                                                                                                                                                                                     
"527801000006112"     "burkitt's lymphoma of lymph nodes of inguinal region and lower limb"                                                                                                                                                                        
"292073010"           "[m]acute megakaryoblastic leukaemia"                                                                                                                                                                                                        
"587201000006115"     "non-hodgkin's lymphoma"                                                                                                                                                                                                                     
"292009010"           "[m]subacute lymphoid leukaemia"                                                                                                                                                                                                             
"311811000006111"     "[m]malignant lymphoma, lymphocytic, poorly differentiated nos"                                                                                                                                                                              
"289616013"           "hodgkin's paragranuloma of unspecified site"                                                                                                                                                                                                
"450988016"           "megakaryocytic myelosclerosis"                                                                                                                                                                                                              
"81421000006117"      "unspec malig neop lymphoid/histiocytic lymph node head/neck"                                                                                                                                                                                
"344657018"           "t-zone lymphoma"                                                                                                                                                                                                                            
"315931000006112"     "[m]reticulolymphosarcoma, follicular"                                                                                                                                                                                                       
"318171000006118"     "waldenstrom's macroglobulinaemia"                                                                                                                                                                                                           
"1216284012"          "[m]acute promyelocytic leukaemia"                                                                                                                                                                                                           
"3758721000006116"    "burkitt lymphoma"                                                                                                                                                                                                                           
"2715221000006118"    "mast cell sarcoma"                                                                                                                                                                                                                          
"728581000006115"     "malignant histiocytosis of lymph nodes of inguinal region and lower limb"                                                                                                                                                                   
"2782211000006116"    "acute myeloblastic leukemia"                                                                                                                                                                                                                
"4420051000006115"    "prolymphocytic leukaemia"                                                                                                                                                                                                                   
"289790014"           "mast cell malignancy of spleen"                                                                                                                                                                                                             
"154837014"           "hodgkin's granuloma of intrapelvic lymph nodes"                                                                                                                                                                                             
"2950311000006114"    "cutaneous t-cell lymphoma"                                                                                                                                                                                                                  
"289600011"           "lymphosarcoma of lymph nodes of multiple sites"                                                                                                                                                                                             
"1815171000006114"    "follicular lymphoma grade 2"                                                                                                                                                                                                                
"289721016"           "nodular lymphoma of lymph nodes of axilla and upper limb"                                                                                                                                                                                   
"289592016"           "lymphosarcoma of unspecified site"                                                                                                                                                                                                          
"291887011"           "[m]lymphomas, nos or diffuse"                                                                                                                                                                                                               
"289926015"           "other monocytic leukaemia"                                                                                                                                                                                                                  
"826671000006118"     "hodgkin's disease, nodular sclerosis of lymph nodes of multiple sites"                                                                                                                                                                      
"289627010"           "hodgkin's paragranuloma nos"                                                                                                                                                                                                                
"2901912012"          "diffuse follicle centre lymphoma"                                                                                                                                                                                                           
"289660013"           "hodgkin's disease, nodular sclerosis of unspecified site"                                                                                                                                                                                   
"292191019"           "diffuse non-hodgkin's lymphoma"                                                                                                                                                                                                             
"3072941000006113"    "waldenstrom macroglobulinemia"                                                                                                                                                                                                              
"154811011"           "hodgkin's disease, nodular sclerosis of spleen"                                                                                                                                                                                             
"215915014"           "malignant histiocytosis"                                                                                                                                                                                                                    
"2999011000006111"    "acute myelomonocytic leukaemia"                                                                                                                                                                                                             
"2529511000006116"    "non-hodgkin's lymphoma"                                                                                                                                                                                                                     
"2663376010"          "hodgkin's sarcoma"                                                                                                                                                                                                                          
"3408461000006116"    "plasma cell myeloma"                                                                                                                                                                                                                        
"291914014"           "[m]malignant lymphoma, large cell, cleaved, diffuse"                                                                                                                                                                                        
"157747014"           "reticulosarcoma of intrathoracic lymph nodes"                                                                                                                                                                                               
"289829011"           "malignant lymphoma nos"                                                                                                                                                                                                                     
"1220814017"          "[m]angiocentrict-cell lymphoma"                                                                                                                                                                                                             
"289739013"           "mycosis fungoides nos"                                                                                                                                                                                                                      
"3992741000006111"    "aml - acute myeloid leukemia"                                                                                                                                                                                                               
"2669191000006115"    "plasmacytoma of bone"                                                                                                                                                                                                                       
"289637017"           "hodgkin's granuloma of lymph nodes of multiple sites"                                                                                                                                                                                       
"1225763012"          "[m] cutaneous lymphoma"                                                                                                                                                                                                                     
"3992761000006110"    "aml - acute myeloid leukaemia"                                                                                                                                                                                                              
"289710013"           "hodgkin's disease of spleen"                                                                                                                                                                                                                
"309011000006119"     "[m]germinoblastic sarcoma, follicular"                                                                                                                                                                                                      
"414278016"           "follicular non-hodgkin's large cell lymphoma"                                                                                                                                                                                               
"289742019"           "sezary's disease of intrathoracic lymph nodes"                                                                                                                                                                                              
"312961000006113"     "[m]monocytic leukaemia nos"                                                                                                                                                                                                                 
"404441000006117"     "[x]oth and unspecif peripheral & cutaneous t-cell lymphomas"                                                                                                                                                                                
"306921000006118"     "chronic leukaemia (category)"                                                                                                                                                                                                               
"4309571000006110"    "hodgkin disease, nodular sclerosis"                                                                                                                                                                                                         
"289826016"           "malignant immunoproliferative small intestinal disease"                                                                                                                                                                                     
"289948014"           "thrombocytic leukaemia"                                                                                                                                                                                                                     
"344670010"           "lymphoepithelioid lymphoma"                                                                                                                                                                                                                 
"289580016"           "lymphosarcoma and reticulosarcoma"                                                                                                                                                                                                          
"292045013"           "[m]basophilic leukaemia nos"                                                                                                                                                                                                                
"720161000006119"     "malignant reticuloendotheliosis"                                                                                                                                                                                                            
"289776011"           "letterer-siwe disease of unspecified sites"                                                                                                                                                                                                 
"1220816015"          "[m]acute progressive histiocytosis x"                                                                                                                                                                                                       
"1668101000000112"    "diffuse non-hodgkin's large cell lymphoma"                                                                                                                                                                                                  
"289967013"           "chronic leukaemia"                                                                                                                                                                                                                          
"2872860018"          "mature b-cell leukaemia burkitt-type"                                                                                                                                                                                                       
"2839871014"          "non-hodgkin lymphoma"                                                                                                                                                                                                                       
"304401000006111"     "acute myeloid leukaemia"                                                                                                                                                                                                                    
"1216396015"          "[m]lymphoid leukaemia nos"                                                                                                                                                                                                                  
"2233461000000116"    "clinical stage c chronic lymphocytic leukaemia"                                                                                                                                                                                             
"315921000006114"     "[m]reticulolymphosarcoma, diffuse"                                                                                                                                                                                                          
"826491000006115"     "hodgkin's disease, lymphocytic depletion of lymph nodes of multiple sites"                                                                                                                                                                  
"6377241000006110"    "reticulum cell sarcoma"                                                                                                                                                                                                                     
"826501000006111"     "hodgkin's disease, lymphocytic depletion of lymph nodes of head, face and neck"                                                                                                                                                             
"312211000006119"     "acute megakaryoblastic leukaemia"                                                                                                                                                                                                           
"3706141000006116"    "hodgkin granuloma [obs]"                                                                                                                                                                                                                    
"289601010"           "lymphosarcoma nos"                                                                                                                                                                                                                          
"621071000006112"     "diffuse non-hodgkin's lymphoma, lymphoblastic (clinical)"                                                                                                                                                                                   
"6623111000006119"    "plasma cell myeloma/plasmacytoma"                                                                                                                                                                                                           
"289971011"           "other leukaemia of unspecified cell type"                                                                                                                                                                                                   
"826261000006110"     "hodgkin's disease, lymphocytic-histiocytic predominance"                                                                                                                                                                                    
"1815221000006115"    "follicular lymphoma, cutaneous follicle centre"                                                                                                                                                                                             
"311591000006116"     "[m]malig lymp,follicular centre cell,noncleaved,follicular"                                                                                                                                                                                 
"728571000006118"     "malignant histiocytosis of lymph nodes of head, face and neck"                                                                                                                                                                              
"289845013"           "malignant lymphoma of intrapelvic lymph nodes"                                                                                                                                                                                              
"4309861000006118"    "lsd - letterer-siwe disease"                                                                                                                                                                                                                
"289880012"           "subacute lymphoid leukaemia"                                                                                                                                                                                                                
"3992631000006110"    "all - acute lymphoblastic leukaemia"                                                                                                                                                                                                        
"289629013"           "hodgkin's granuloma of lymph nodes of head, face and neck"                                                                                                                                                                                  
"292036012"           "[m]aleukaemic myeloid leukaemia"                                                                                                                                                                                                            
"3992711000006112"    "acute myeloid leukaemia, disease"                                                                                                                                                                                                           
"123978016"           "mantle cell lymphoma"                                                                                                                                                                                                                       
"1230406012"          "[m]hodgkin's sarcoma"                                                                                                                                                                                                                       
"728781000006110"     "malignant lymphoma of lymph nodes of axilla and/or upper limb"                                                                                                                                                                              
"2734791000000113"    "cutaneous follicle centre lymphoma"                                                                                                                                                                                                         
"3327911000006114"    "chronic lymphoid leukemia"                                                                                                                                                                                                                  
"311521000006118"     "[m]lymphosarcoma nos"                                                                                                                                                                                                                       
"311911000006116"     "[m]malignant lymphoma, stem cell type"                                                                                                                                                                                                      
"154185012"           "malignant histiocytosis of intrathoracic lymph nodes"                                                                                                                                                                                       
"317571000006112"     "[m]thrombocytic leukaemia"                                                                                                                                                                                                                  
"154862014"           "hodgkin's sarcoma of intra-abdominal lymph nodes"                                                                                                                                                                                           
"826511000006114"     "hodgkin's disease, lymphocytic depletion of intrapelvic lymph nodes"                                                                                                                                                                        
"289749011"           "sezary's disease nos"                                                                                                                                                                                                                       
"746041000006117"     "letterer-siwe disease of lymph nodes of head, face and neck"                                                                                                                                                                                
"289680014"           "hodgkin's lymphocytic depletion of unspecified site"                                                                                                                                                                                        
"289598017"           "lymphosarcoma of intrapelvic lymph nodes"                                                                                                                                                                                                   
"289903010"           "chloroma"                                                                                                                                                                                                                                   
"1815261000006114"    "multifocal and unisystemic langerhans-cell histiocytosis"                                                                                                                                                                                   
"826461000006111"     "hodgkin's disease, lymphocytic depletion of intra-abdominal lymph nodes"                                                                                                                                                                    
"3648221000006118"    "hodgkin lymphoma, nodular lymphocyte predominance"                                                                                                                                                                                          
"315461000006113"     "[m]plasmacytic myeloma"                                                                                                                                                                                                                     
"1222221019"          "[m]lymphoblastic lymphoma nos"                                                                                                                                                                                                              
"4309481000006114"    "hodgkin lymphoma, nodular lymphocyte predominance"                                                                                                                                                                                          
